,Total_Human,Total_LLM,Total_Invalid,LLM_Preference_Ratio
whats_in_a_translation_rule,23.0,35.0,8.0,0.603448275862069
when_were_you_born,15.0,31.0,4.0,0.6739130434782609
wheres_firuze,20.0,26.0,4.0,0.5652173913043478
white_wedding,0.0,47.0,3.0,1.0
widecoverage_efficient_statistic,30.0,10.0,8.0,0.25
winchester_73,22.0,24.0,4.0,0.5217391304347826
wing_and_a_prayer,20.0,28.0,2.0,0.5833333333333334
yamiu_travel_shoe_bags_set_of_4_,6.0,42.5,1.5,0.876062925170068
yellow_sky,13.0,34.0,3.0,0.723404255319149
yes4all_premium_surf_balance_boa,12.0,37.5,0.5,0.7573469387755103
yeswelder_true_color_solar_power,5.5,43.5,1.0,0.8866666666666667
yingzhao_set_of_5_poinsettia_chr,9.0,41.0,0.0,0.8200000000000001
yiview_sleep_mask_for_men_women_,11.5,38.0,0.5,0.7673469387755103
your_mother_wears_combat_boots,28.0,19.0,3.0,0.40425531914893614
zuzuan_2_piece_hammer_setinclude,18.0,32.0,0.0,0.64
Overall Mean,17.33407079646018,32.756637168141594,2.913716814159292,0.6547436303338549
